Date,City Name,Latitude,Longitude,Country,Cloud,Humidity,Maximum Temperatures,Wind Speed
1571286121,Castro,-42.48,-73.76,CL,90,87,46.4,5.82
1571286025,New Norfolk,-42.78,147.06,AU,20,67,62.01,17.22
1571286135,Henties Bay,-22.12,14.28,NA,84,88,63.0,4.0
1571286047,Los Llanos de Aridane,28.66,-17.92,ES,20,64,68.0,9.17
1571286015,Rikitea,-23.12,-134.97,PF,100,86,71.85,9.74
1571286105,Albany,42.65,-73.75,US,90,87,54.0,17.22
1571286006,Vaini,15.34,74.49,IN,40,88,77.0,6.93
1571286039,East London,-33.02,27.91,ZA,0,63,60.8,9.17
1571286552,Arlit,18.74,7.39,NE,0,18,89.78,11.78
1571286011,Mataura,-46.19,168.86,NZ,60,67,54.0,8.01
1571286018,Busselton,-33.64,115.35,AU,87,53,71.01,5.01
1571286283,Dunedin,-45.87,170.5,NZ,65,63,52.0,17.0
1571286007,Ushuaia,-54.81,-68.31,AR,30,61,46.4,11.41
1571286049,Port Elizabeth,39.31,-74.98,US,1,57,55.0,23.04
1571286027,Barrow,-38.31,-60.23,AR,95,95,48.16,8.49
1571286553,Kuopio,62.89,27.68,FI,75,88,32.0,11.41
1571286554,Huayang,23.62,115.49,CN,0,59,73.81,6.82
1571286017,Kapaa,22.08,-159.32,US,75,78,78.8,14.99
1571286554,Deer Lake,49.18,-57.43,CA,75,93,35.6,2.24
1571286033,Saint-Philippe,45.36,-73.48,CA,90,87,50.0,10.29
1571286555,Ust-Kulom,61.69,53.69,RU,72,91,27.75,2.04
1571286058,Alofi,-19.06,-169.92,NU,100,94,75.2,8.05
1571286040,Geraldton,49.72,-86.95,CA,90,90,35.6,6.93
1571286555,Las Juntas,10.28,-84.96,CR,16,8,73.0,5.37
1571286556,Erzin,36.95,36.2,TR,75,64,73.4,3.36
1571286034,Bredasdorp,-34.53,20.04,ZA,0,77,63.0,2.24
1571286020,Jamestown,-33.21,138.6,AU,1,32,62.58,12.63
1571286121,Tiarei,-17.53,-149.33,PF,20,74,80.6,8.05
1571286008,Longyearbyen,78.22,15.63,NO,75,68,30.2,13.87
1571286038,Bluff,-23.58,149.07,AU,30,34,91.22,11.12
1571286039,Cockburn Town,21.46,-71.14,TC,100,68,83.62,6.58
1571286557,Jiuquan,39.73,98.49,CN,15,35,46.38,6.44
1571286445,Darhan,49.49,105.92,MN,35,22,45.25,9.0
1571286008,Punta Arenas,-53.16,-70.91,CL,98,93,42.8,6.93
1571286573,Impfondo,1.62,18.06,CD,99,87,69.1,0.36
1571286052,Grindavik,63.84,-22.43,IS,45,80,42.8,1.12
1571286573,Grafton,-29.69,152.93,AU,9,20,96.01,8.05
1571286573,San Jeronimo,-13.65,-73.37,PE,98,93,49.51,3.22
1571285999,Khatanga,71.98,102.47,RU,47,93,4.39,1.52
1571286039,Klaksvik,62.23,-6.59,FO,93,100,42.8,10.6
1571286249,Rio Gallegos,-51.62,-69.22,AR,75,87,46.4,2.24
1571286574,Gazanjyk,39.24,55.52,TM,0,31,56.71,1.29
1571286574,Khuzdar,27.8,66.62,PK,0,20,66.83,4.46
1571286574,Porangatu,-13.44,-49.14,BR,0,47,79.25,2.58
1571286356,Hami,42.84,93.51,CN,26,40,55.36,3.0
1571286012,Mar del Plata,-46.43,-67.52,AR,21,69,50.56,3.52
1571286135,Souillac,45.6,-0.6,FR,100,100,59.0,9.17
1571286108,Lebu,8.96,38.73,ET,20,71,55.4,3.36
1571286576,Playa Vicente,17.83,-95.81,MX,100,89,75.99,1.01
1571286123,Luderitz,-26.65,15.16,NA,54,82,59.0,4.7
1571285998,Hermanus,-34.42,19.24,ZA,33,95,63.0,4.0
1571286029,Upernavik,72.79,-56.15,GL,100,73,27.16,4.71
1571286200,San Cristobal,14.68,-86.92,HN,48,93,66.96,3.38
1571286021,Chuy,-33.69,-53.46,UY,100,94,59.45,14.1
1571286577,Luino,46.0,8.74,IT,40,93,54.0,9.17
1571286047,Caravelas,-17.73,-39.27,BR,18,89,67.14,2.34
1571285999,Puerto Ayora,-0.74,-90.35,EC,4,85,68.0,3.0
1571286324,Oistins,13.07,-59.53,BB,40,88,78.8,8.05
1571286019,Labuhan,-2.54,115.51,ID,100,48,91.85,2.19
1571286026,Arraial do Cabo,-22.97,-42.02,BR,0,90,72.14,15.67
1571286005,Hilo,19.71,-155.08,US,90,69,80.6,4.7
1571286055,Yar-Sale,66.83,70.83,RU,0,87,23.32,12.71
1571286056,Qaanaaq,77.48,-69.36,GL,100,83,12.6,11.0
1571286156,Leningradskiy,69.38,178.42,RU,98,86,33.26,16.79
